games_played,minutes_avg,points_avg,rebounds_avg,assists_avg,steals_avg,blocks_avg,turnovers_avg,plus_minus_avg,fg_pct,fg3_pct,ft_pct,usage_rate,efficiency_rating,points_trend_5,minutes_trend_5,fg_pct_trend_5,plus_minus_trend_5,consistency_score,recent_form_score,injury_games_missed,position_weight,player_id,player_name,team_id,season,total_games,per,true_shooting_pct,usage_rate_advanced
15,7.217888888888888,3.7333333333333334,1.4,0.13333333333333333,0.13333333333333333,0.0,0.2,-3.066666666666667,0.5,0.4,0.25,1.0,3.3333333333333335,7.6,14.514333333333333,0.25,-4.4,0.479229430792991,6.3738369954456635,4,1.0,1630639,A.J. Lawson,1610612742,2022-23,15,0,0,0
35,9.855714285714287,4.4,1.2857142857142858,0.6285714285714286,0.17142857142857143,0.0,0.2571428571428571,-0.7428571428571429,0.424,0.41904761904761906,1.0,1.0,4.171428571428572,2.4,6.451666666666666,0.09411764705882353,6.4,0.47101539255337965,4.287981959563595,6,1.0,1631260,AJ Green,1610612749,2022-23,35,0,0,0
72,19.464375,8.875,2.125,1.0138888888888888,0.5833333333333334,0.16666666666666666,0.5833333333333334,0.875,0.4652908067542214,0.38996138996138996,0.8936170212765957,1.0,8.152777777777779,5.4,13.08333333333333,-0.07941176470588235,1.2,0.6235844924940089,9.531207293086357,2,1.0,1631100,AJ Griffin,1610612737,2022-23,72,0,0,0
68,30.222156862745095,16.308823529411764,6.5588235294117645,2.985294117647059,0.7941176470588235,0.75,1.4411764705882353,7.617647058823529,0.5637319316688568,0.3468208092485549,0.60828025477707,1.0,19.264705882352942,0.5999999999999996,4.353999999999992,-0.05898617511520737,-7.6,0.7053986841017696,13.953183698695483,2,1.0,203932,Aaron Gordon,1610612743,2022-23,68,0,0,0
63,13.416772486772489,3.9206349206349205,1.1746031746031746,1.4126984126984128,0.5873015873015873,0.19047619047619047,0.5714285714285714,0.2698412698412698,0.41818181818181815,0.4090909090909091,0.84375,1.0,4.603174603174603,-3.2,-5.742666666666672,-0.13157894736842107,3.6,0.5331312864149043,3.6129705626187048,3,1.0,1628988,Aaron Holiday,1610612737,2022-23,63,0,0,0
73,24.882237442922374,10.10958904109589,3.7945205479452055,1.3424657534246576,0.7534246575342466,0.4657534246575342,1.0273972602739727,-2.8904109589041096,0.4271186440677966,0.3662420382165605,0.8380281690140845,1.0,10.493150684931507,4.4,4.742333333333331,0.03361898483849701,-12.799999999999999,0.6212645704752773,11.386563656460565,2,1.0,1630174,Aaron Nesmith,1610612754,2022-23,73,0,0,0
70,18.53480952380953,6.8428571428571425,3.0142857142857142,1.1428571428571428,0.5571428571428572,0.21428571428571427,0.8,0.12857142857142856,0.512396694214876,0.39344262295081966,0.8309859154929577,1.0,8.271428571428572,4.199999999999999,-3.6196666666666744,0.22232142857142856,-10.200000000000001,0.5521994998439386,9.63410490156607,1,1.0,1630598,Aaron Wiggins,1610612760,2022-23,70,0,0,0
37,12.196261261261263,4.1891891891891895,1.6756756756756757,0.8378378378378378,0.21621621621621623,0.13513513513513514,0.43243243243243246,-2.135135135135135,0.45081967213114754,0.32432432432432434,0.9130434782608695,1.0,4.756756756756757,3.6,9.836,-0.16666666666666669,-3.8,0.5283735500176833,3.8721597617744097,3,1.0,1629678,Admiral Schofield,1610612753,2022-23,37,0,0,0
63,30.498015873015873,9.777777777777779,6.190476190476191,3.0,0.47619047619047616,0.9682539682539683,0.5873015873015873,4.904761904761905,0.4759916492693111,0.4461538461538462,0.7142857142857143,1.0,15.746031746031745,1.4000000000000004,-2.9033333333333324,-0.06818181818181818,10.200000000000001,0.6571305911422413,9.30328525361639,2,1.0,201143,Al Horford,1610612738,2022-23,63,0,0,0
51,22.008692810457518,12.784313725490197,3.0980392156862746,2.235294117647059,0.7450980392156863,0.1568627450980392,1.1372549019607843,-0.13725490196078433,0.4357298474945534,0.41422594142259417,0.8138297872340425,1.0,12.117647058823529,-3.5999999999999996,-0.4086666666666616,-0.042151162790697694,2.2,0.6613365732231754,10.774111389408494,1,1.0,202692,Alec Burks,1610612765,2022-23,51,0,0,0
34,20.627892156862742,8.117647058823529,4.676470588235294,1.8823529411764706,0.5882352941176471,1.2647058823529411,1.2647058823529411,-5.764705882352941,0.43373493975903615,0.36538461538461536,0.6285714285714286,1.0,10.735294117647058,-2.2,-7.128333333333336,0.15714285714285714,4.199999999999999,0.5860819468232915,4.911397844053054,1,1.0,1630197,Aleksej Pokusevski,1610612760,2022-23,34,0,0,0
67,23.51308457711443,5.582089552238806,2.925373134328358,2.8805970149253732,1.462686567164179,0.6865671641791045,1.1492537313432836,2.970149253731343,0.45454545454545453,0.36423841059602646,0.8082191780821918,1.0,9.850746268656716,-0.40000000000000036,-4.317,0.14536340852130325,-0.1999999999999993,0.6275944774332984,5.033534511157509,2,1.0,1627936,Alex Caruso,1610612741,2022-23,67,0,0,0
26,6.2017948717948705,1.6538461538461537,2.3076923076923075,0.46153846153846156,0.15384615384615385,0.4230769230769231,0.6153846153846154,0.7307692307692307,0.5333333333333333,0.0,0.6875,1.0,3.6538461538461537,2.4,10.583666666666668,-0.12121212121212122,3.4,0.45778026180558246,3.0551902821121333,9,1.0,203458,Alex Len,1610612758,2022-23,26,0,0,0
