Squadra A,Squadra B,Data,Ora,Quota,Stake,Media Punti Stimati,Probabilita Stimata,Edge Value,Confidenza,Punteggio finale,Esito,Tipo Scommessa
New York Knicks,Detroit Pistons,2 Mag 2025,01:30,1.8,1.7,215.8,61.2,10.2,Alta,229.0,W,
Denver Nuggets,LA Clippers,2 Mag 2025,04:00,1.71,2.4,218.5,68.8,17.7,Alta,216.0,W,
Houston Rockets,Golden State Warriors,2 Mag 2025,21:00,1.71,2.0,214.2,85.0,45.9,Alta,222.0,W,
LA Clippers,Denver Nuggets,4 Mag 2025,01:30,1.71,2.0,215.25,78.5,35.0,Alta,221.0,W,
Indiana Pacers,Cleveland Cavaliers,5 Mag 2025,00:00,1.71,2.0,233.3,74.3,27.0,Alta,233.0,W,
Golden State Warriors,Houston Rockets,5 Mag 2025,02:30,1.8,1.0,208.2,59.4,6.9,Alta,192.0,L,
New York Knicks,Boston Celtics,6 Mag 2025,01:00,1.8,1.6,221.1,62.5,12.5,Alta,213.0,W,
Denver Nuggets,Oklahoma City Thunder,6 Mag 2025,03:30,1.71,1.6,228.1,65.0,11.2,Alta,240.0,W,
Indiana Pacers,Cleveland Cavaliers,7 Mag 2025,01:00,1.71,2.6,233.1,69.2,18.3,Alta,239.0,W,
Golden State Warriors,Minnesota Timberwolves,7 Mag 2025,03:30,1.76,2.6,216.9,64.9,14.3,Alta,187.0,L,
New York Knicks,Boston Celtics,8 Mag 2025,01:00,1.8,2.3,221.2,64.2,19.6,Alta,181.0,L,
Denver Nuggets,Oklahoma City Thunder,8 Mag 2025,03:30,1.71,4.3,234.2,78.5,34.2,Alta,255.0,W,
Golden State Warriors,Minnesota Timberwolves,9 Mag 2025,02:30,1.76,2.4,206.9,67.4,21.3,Alta,210.0,W,
Cleveland Cavaliers,Indiana Pacers,10 Mag 2025,01:30,1.8,2.8,232.1,68.0,22.4,Alta,230.0,W,
Oklahoma City Thunder,Denver Nuggets,10 Mag 2025,04:00,1.8,1.0,235.0,61.2,10.2,Alta,217.0,L,
Minnesota Timberwolves,Golden State Warriors,11 Mag 2025,02:30,1.8,1.1,207.0,60.2,8.4,Alta,199.0,L,
Boston Celtics,New York Knicks,10 Mag 2025,21:30,1.71,3.1,210.1,71.2,21.9,Alta,208.0,W,
Cleveland Cavaliers,Indiana Pacers,12 Mag 2025,02:00,1.71,1.2,235.9,63.4,8.4,Alta,238.0,W,
Oklahoma City Thunder,Denver Nuggets,11 Mag 2025,21:30,1.74,1.9,235.5,68.5,11.0,Alta,179.0,L,
Boston Celtics,New York Knicks,13 Mag 2025,01:30,1.76,3.8,214.5,70.8,24.7,Alta,234.0,W,
Minnesota Timberwolves,Golden State Warriors,13 Mag 2025,04:00,1.71,4.1,206.6,72.4,23.9,Alta,227.0,W,
Denver Nuggets,Oklahoma City Thunder,14 Mag 2025,03:30,1.71,1.8,226.4,65.2,11.5,Alta,217.0,L,
Indiana Pacers,Cleveland Cavaliers,14 Mag 2025,01:00,1.71,0.0,230.9,55.0,-2.4,NO BET,219.0,,
New York Knicks,Boston Celtics,15 Mag 2025,01:00,1.8,3.4,215.3,67.9,22.2,Alta,229.0,W,
Golden State Warriors,Minnesota Timberwolves,15 Mag 2025,03:30,1.71,1.6,209.7,65.2,11.5,Alta,231.0,W,
Oklahoma City Thunder,Denver Nuggets,16 Mag 2025,02:30,1.71,4.2,225.3,74.8,28.0,Alta,226.0,W,
Boston Celtics,New York Knicks,17 Mag 2025,02:00,1.71,4.3,215.1,69.5,18.8,Alta,200.0,L,
Denver Nuggets,Oklahoma City Thunder,18 Mag 2025,21:30,1.76,4.3,217.6,70.0,23.2,Alta,218.0,W,
Minnesota Timberwolves,Oklahoma City Thunder,21 Mag 2025,02:30,1.71,2.1,220.5,66.2,13.2,Alta,202.0,L,
Indiana Pacers,New York Knicks,22 Mag 2025,02:10,1.8,4.2,225.2,65.0,17.0,Alta,273.0,W,
Minnesota Timberwolves,Oklahoma City Thunder,23 Mag 2025,02:30,1.71,2.2,217.0,65.1,11.3,Alta,221.0,W,
Indiana Pacers,New York Knicks,24 Mag 2025,02:10,1.8,4.45,231.9,71.3,28.3,Alta,223.0,L,
Oklahoma City Thunder,Minnesota Timberwolves,25 Mag 2025,02:30,1.74,2.2,215.3,65.2,13.4,Alta,244.0,W,
Indiana Pacers,New York Knicks,26 Mag 2025,02:10,1.71,2.15,228.8,68.2,15.2,Media,206.0,L,
Oklahoma City Thunder,Minnesota Timberwolves,27 Mag 2025,02:30,1.71,4.3,222.2,68.2,20.2,Alta,254.0,W,
New York Knicks,Indiana Pacers,28 Mag 2025,02:10,1.8,4.3,228.5,67.0,21.5,Media,251.0,W,
Minnesota Timberwolves,Oklahoma City Thunder,29 Mag 2025,02:30,1.95,4.3,227.8,68.3,33.1,Alta,218.0,L,
Indiana Pacers,New York Knicks,30 Mag 2025,02:00,1.8,4.3,233.7,71.1,28.0,Alta,205.0,L,
Indiana Pacers,Oklahoma City Thunder,9 Giu 2025,02:30,1.95,1.09,237.4,72.8,41.9,Alta,230.0,W,
Indiana Pacers,Oklahoma City Thunder,6 Giu 2025,02:30,1.71,4.1,237.4,77.4,32.4,Media,221.0,L,
Indiana Pacers,Oklahoma City Thunder,14 Giu 2025,00:30,1.96,2.0,223.8,56.0,9.8,Media,215.0,W,
Indiana Pacers,Oklahoma City Thunder,17 Giu 2025,02:30,2.2,4.0,241.0,81.5,79.2,Alta,229.0,W ,
Team A,Team B,19 Jun 2025,,1.9,4.3,221.5,80.676,53.28440000000001,Media,,TBD,UNDER 221.5
Away Team,Home Team,19 Jun 2025,,1.9,4.3,221.5,80.676,53.28440000000001,Media,,TBD,UNDER 221.5
Away Team,Home Team,19 Jun 2025,,1.9,4.3,221.5,80.676,53.28440000000001,Media,,TBD,UNDER 221.5
Away Team,Home Team,19 Jun 2025,,1.9,4.3,221.5,80.81700000000001,53.552299999999995,Media,,TBD,UNDER 221.5
