GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_eFG_PCT_sAvg,HOME_TOV_PCT_sAvg,HOME_OREB_PCT_sAvg,HOME_FT_RATE_sAvg,HOME_ORtg_sAvg,HOME_DRtg_sAvg,HOME_PACE,AWAY_eFG_PCT_sAvg,AWAY_TOV_PCT_sAvg,AWAY_OREB_PCT_sAvg,AWAY_FT_RATE_sAvg,AWAY_ORtg_sAvg,AWAY_DRtg_sAvg,AWAY_PACE,target_mu,target_sigma,TOTAL_SCORE,HOME_SCORE,AWAY_SCORE,GAME_PACE,PACE_DIFFERENTIAL,HOME_OFF_vs_AWAY_DEF,AWAY_OFF_vs_HOME_DEF,TOTAL_EXPECTED_SCORING,AVG_PACE,LgAvg_ORtg_season
21900023,2019-10-25,2019,1610612743,OPP_1610612743,0.4293478260869565,0.14,0.1777777777777777,0.391304347826087,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,218,10.480753319498364,218,108,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900018,2019-10-25,2019,1610612766,OPP_1610612766,0.5119047619047619,0.19,0.2142857142857142,0.3095238095238095,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,209,12.47137099889291,209,99,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900020,2019-10-25,2019,1610612763,OPP_1610612763,0.4680851063829787,0.18,0.2678571428571428,0.2127659574468085,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,212,10.637963886718182,212,102,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900025,2019-10-25,2019,1610612747,OPP_1610612747,0.4418604651162791,0.14,0.2619047619047619,0.2790697674418604,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,205,9.881544447997062,205,95,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900024,2019-10-25,2019,1610612758,OPP_1610612758,0.5114942528735632,0.17,0.3023255813953488,0.3103448275862069,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,222,14.19847315338233,222,112,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900017,2019-10-25,2019,1610612738,OPP_1610612738,0.4449541284403669,0.09,0.375,0.146788990825688,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,222,11.661335549270197,222,112,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900022,2019-10-25,2019,1610612760,OPP_1610612760,0.4277108433734939,0.18,0.1428571428571428,0.2650602409638554,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,195,12.101292307031885,195,85,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900021,2019-10-25,2019,1610612740,OPP_1610612740,0.5357142857142857,0.14,0.25,0.1530612244897959,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,226,9.862877720679815,226,116,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900019,2019-10-25,2019,1610612751,OPP_1610612751,0.5769230769230769,0.26,0.2391304347826087,0.4358974358974359,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,223,11.183425913212226,223,113,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900035,2019-10-26,2019,1610612756,OPP_1610612756,0.5988372093023255,0.16,0.1836734693877551,0.3953488372093023,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,240,12.1663838845648,240,130,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900032,2019-10-26,2019,1610612745,OPP_1610612745,0.526595744680851,0.19,0.2,0.3191489361702128,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,236,10.273509633866546,236,126,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900030,2019-10-26,2019,1610612739,OPP_1610612739,0.56875,0.18,0.2727272727272727,0.3625,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,220,12.563547027518508,220,110,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900031,2019-10-26,2019,1610612741,OPP_1610612741,0.345360824742268,0.15,0.2666666666666666,0.2577319587628865,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,194,11.099041965121792,194,84,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900027,2019-10-26,2019,1610612765,OPP_1610612765,0.5921052631578947,0.23,0.1428571428571428,0.4736842105263157,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,221,11.562459375310084,221,111,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900034,2019-10-26,2019,1610612762,OPP_1610612762,0.6794871794871795,0.21,0.0465116279069767,0.1538461538461538,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,223,11.097440081655904,223,113,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900033,2019-10-26,2019,1610612759,OPP_1610612759,0.5092592592592593,0.09,0.3962264150943396,0.1574074074074074,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,234,14.778417276763406,234,124,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
